,text,label
0,"i have a 3g iphone. after 3 hrs tweeting at #riseaustin, it was dead!  i need to upgrade. plugin stations at #sxsw.",Negative emotion
1,"know about  ? awesome ipadiphone app that you'll likely appreciate for its design. also, they're giving free ts at #sxsw",Positive emotion
2,can not wait for #ipad 2 also. they should sale them down at #sxsw.,Positive emotion
3,i hope this year's festival isn't as crashy as this year's iphone app. #sxsw,Negative emotion
4,"great stuff on fri #sxsw: marissa mayer (google), tim o'reilly (tech booksconferences) & matt mullenweg (wordpress)",Positive emotion
5,new ipad apps for #speechtherapy and communication are showcased at the #sxsw conference  #iear #edchat #asd,No emotion toward brand or product
6,"#sxsw is just starting, #ctia is around the corner and #googleio is only a hop skip and a jump from there, good time to be an #android fan",Positive emotion
7,beautifully smart and simple idea rt   wrote about our #hollergram ipad app for #sxsw!,Positive emotion
8,counting down the days to #sxsw plus strong canadian dollar means stock up on apple gear,Positive emotion
9,excited to meet the  at #sxsw so i can show them my sprint galaxy s still running android 2.1.   #fail,Positive emotion
10,find & start impromptu parties at #sxsw with   i can't wait til the android app comes out.,Positive emotion
11,"foursquare ups the game, just in time for #sxsw  - still prefer  by far, best looking android app to date.",Positive emotion
12,gotta love this #sxsw google calendar featuring top parties show cases to check out.  rt  via,Positive emotion
13,great #sxsw ipad app from :,Positive emotion
14,"haha, awesomely rad ipad app by   #hollergram #sxsw",Positive emotion
15,holler gram for ipad on the itunes app store -   (via ) #sxsw,No emotion toward brand or product
16,i just noticed dst is coming this weekend. how many iphone users will be an hour late at sxsw come sunday morning? #sxsw #iphone,Negative emotion
17,"just added my #sxsw flights to  matching people on planesairports. also downloaded the  iphone app, nicely done.",Positive emotion
18,must have #sxsw app! rt : lovely review from forbes for our sxsw ipad app holler gram -,Positive emotion
19,need to buy an ipad2 while i'm in austin at #sxsw. not sure if i'll need to q up at an austin apple store?,Positive emotion
20,"oh. my. god. the #sxsw app for ipad is pure, unadulterated awesome. it's easier to browse events on ipad than on the website!!!",Positive emotion
21,"okay, this is really it: yay new  for #android app!!!!11 kthxbai. #sxsw",Positive emotion
22,"photo: just installed the #sxsw iphone app, which is really nice!",Positive emotion
23,really enjoying the changes in gowalla 3.0 for android! looking forward to seeing what else they & foursquare have up their sleeves at #sxsw,Positive emotion
24,"rt : i'm looking forward to the #smcdallas pre #sxsw party wed., and hoping i'll win an #ipad resulting from my shameless promotion.  #chevysmc",Positive emotion
25,"someone started an #austin  group in google groups, pre-#sxsw. great idea",Positive emotion
26,the new #4sq3 looks like it is going to rock. update for iphone and android should push tonight  #sxsw #keepaustinweird,Positive emotion
27,"they were right, the  3 app on #android is sweeeeet! nice job by the team there. #sxsw",Positive emotion
28,very smart from  #hollergram ipad app for #sxsw!  (may leave my vuvuzela at home now),Positive emotion
29,you must have this app for your ipad if you are going to #sxsw  #hollergram,Positive emotion
30,"attn: all  #sxsw frineds,  register for #gdgtlive  and see cobra iradar for android.",No emotion toward brand or product
31,anyone at  #sxsw want to sell their old ipad?,No emotion toward brand or product
32,anyone at  #sxsw who bought the new ipad want to sell their older ipad to me?,No emotion toward brand or product
